time,Biomass(kg),DO(mg/L)
0.0,452.38095238010567,-0.03155593572032835
0.1,452.12426774839946,-0.031429405809069534
0.2,451.87118390871785,-0.03106047883544108
0.30000000000000004,451.62164657892384,-0.030464482578194313
0.4,451.3756023742336,-0.02965594817504898
0.5,451.13299882450326,-0.02864863384884055
0.6000000000000001,450.893784331286,-0.027455586007268662
0.7000000000000001,450.65790816454614,-0.02608916197259667
0.8,450.4253204453449,-0.02456106448824727
0.9,450.19597212679207,-0.022882378240332214
1.0,449.96981497954886,-0.02106359741862826
1.1,449.74680157514626,-0.019114657005577757
1.2000000000000002,449.52688527062713,-0.017044960586910112
1.3,449.31002019336734,-0.014863407251910588
1.4000000000000001,449.09616122634395,-0.012578416773593766
1.5,448.88526399367424,-0.010197953801729692
1.6,448.6772848464774,-0.007729550883858758
1.7000000000000002,448.4721808490615,-0.0051803303169995485
1.8,448.26990976545244,-0.002557024802317438
1.9000000000000001,448.07043004619754,0.0001340028168483528
2.0,447.8737008154702,0.0028867408150359776
2.1,447.67968185845376,0.0056955107311872435
2.2,447.48833360898635,0.00855495028817347
2.3000000000000003,447.29961713757865,0.01145999776025402
2.4000000000000004,447.1134941396707,0.014405876985068183
2.5,446.92992692385945,0.017388081378402413
2.6,446.74887840070403,0.020402360650702615
2.7,446.570312071983,0.023444709456547797
2.8000000000000003,446.3941920197547,0.026511354067386573
2.9000000000000004,446.2204828952055,0.029598737069932435
3.0,446.04914990909,0.03270351064657845
3.1,445.8801588215517,0.035822525472205734
3.2,445.7134759316959,0.03895281768399618
3.3000000000000003,445.5490680680978,0.04209160029681676
3.4000000000000004,445.3869025797012,0.04523625609332089
3.5,445.22694732630504,0.048384327698053925
3.6,445.0691706689796,0.051533506758348835
3.7,444.9135414618598,0.05468162962697589
3.8000000000000003,444.7600290433384,0.057826669396574125
3.9000000000000004,444.60860322707754,0.06096672660752494
4.0,444.4592342938818,0.06410002360259241
4.1000000000000005,444.3118929837764,0.06722489935819918
4.2,444.16655048779205,0.07033980249484167
4.3,444.02317843973384,0.07344328385343164
4.4,443.881748909065,0.07653399351485188
4.5,443.7422343932643,0.07961067511801895
4.6000000000000005,443.604607810057,0.0826721593387702
4.7,443.46884249042466,0.08571736019098948
4.800000000000001,443.33491217165493,0.08874527112701186
4.9,443.2027909903224,0.09175496049774012
5.0,443.0724534752714,0.09474556680519924
5.1000000000000005,442.94387454103054,0.09771629514925785
5.2,442.8170294812617,0.10066641350307116
5.300000000000001,442.6918939622515,0.10359524888494455
5.4,442.568444017061,0.10650218621904972
5.5,442.44665603902246,0.10938666362198815
5.6000000000000005,442.3265067755684,0.11224816887523542
5.7,442.20797332235713,0.11508623690569665
5.800000000000001,442.09103311777085,0.11790044847755599
5.9,441.9756639369701,0.12069042660855453
6.0,441.86184388624145,0.1234558339048928
6.1000000000000005,441.7495513975577,0.12619637047328683
6.2,441.6387652233183,0.12891177235991427
6.300000000000001,441.5294644309723,0.13160180900058613
6.4,441.4216283978239,0.13426628118035563
6.5,441.3152368059682,0.1369050192711641
6.6000000000000005,441.21026963735176,0.13951788188196967
6.7,441.1067071688419,0.14210475388845412
6.800000000000001,441.0045299674212,0.1446655448447247
6.9,440.90371888548236,0.14720018754996322
7.0,440.8042550562428,0.1497086366197812
7.1000000000000005,440.70611988917426,0.15219086713466157
7.2,440.6092950655455,0.15464687334112928
7.300000000000001,440.5137625340531,0.15707666743010437
7.4,440.4195045065814,0.15948027868248485
7.5,440.3265034539295,0.16185775209213027
7.6000000000000005,440.23474210169957,0.16420914739026268
7.7,440.14420342623214,0.1665345380899899
7.800000000000001,440.05487065066416,0.1688340107431709
7.9,439.96672724096027,0.17110766384922604
8.0,439.87975690206895,0.17335560702929584
8.1,439.7939435741474,0.17557796023693162
8.200000000000001,439.7092714288885,0.17777485317167943
8.3,439.6257248659186,0.17994642474017597
8.4,439.5432885091491,0.18209282200619503
8.5,439.46194720331204,0.1842141997298308
8.6,439.38168601052496,0.1863107197919221
8.700000000000001,439.3024902067329,0.18838255056418118
8.8,439.22434527853966,0.19042986647696775
8.9,439.1472369200073,0.1924528475797795
9.0,439.07115102943783,0.19445167910151565
9.1,438.99607370613035,0.1964265508825267
9.200000000000001,438.92199124691257,0.19837765644135313
9.3,438.84889014368304,0.2003051933955735
9.4,438.7767570802828,0.2022093628965374
9.5,438.70557892956987,0.20409036929375943
9.600000000000001,438.63534275019407,0.20594841940062839
9.700000000000001,438.56603578385204,0.2077837222990232
9.8,438.4976454528226,0.20959648943959408
9.9,438.43015935709343,0.21138693420885013
10.0,438.36356527164526,0.21315527164802756
10.100000000000001,438.29785114339586,0.2149017177443555
10.200000000000001,438.23300508907005,0.21662648974560123
10.3,438.1690153926018,0.21832980590077597
10.4,438.1058705025933,0.22001188522778578
10.5,438.04355902967677,0.22167294715405308
10.600000000000001,437.9820697439227,0.22331321117219413
10.700000000000001,437.92139157287215,0.2249328971119143
10.8,437.8615135990412,0.22653222483131594
10.9,437.802425057618,0.22811141407912838
11.0,437.74411533387314,0.22967068410124505
11.100000000000001,437.6865739611798,0.23121025372345472
11.200000000000001,437.62979061889797,0.23273034130135864
11.3,437.57375513015614,0.23423116456435428
11.4,437.51845745966006,0.23571294046242422
11.5,437.4638877113522,0.2371758848758846
11.600000000000001,437.41003612673853,0.23862021282693716
11.700000000000001,437.35689308276756,0.24004613832016763
11.8,437.30444908942013,0.2414538741754893
11.9,437.2526947895687,0.24284363225887495
12.0,437.2016209533347,0.24421562263742688
12.100000000000001,437.15121847972983,0.245570054369367
12.200000000000001,437.10147839341585,0.2469071351137828
12.3,437.05239184291565,0.24822707107800748
12.4,437.0039500985567,0.24953006679779852
12.5,436.956144551129,0.2508163253646299
12.600000000000001,436.90896671005896,0.25208604835006465
12.700000000000001,436.8624082016136,0.2533394357491568
12.8,436.8164607671493,0.2545766859512757
12.9,436.77111626171865,0.25579799551871213
13.0,436.72636665224576,0.2570035591967999
13.100000000000001,436.68220401540225,0.2581935700840102
13.200000000000001,436.6386205360811,0.2593682194822733
13.3,436.59560850565794,0.260527696860571
13.4,436.5531603210264,0.26167218989245367
13.5,436.5112684863397,0.26280188475243443
13.600000000000001,436.46992560627046,0.2639169656012066
13.700000000000001,436.4291243856834,0.2650176146841698
13.8,436.3888576283786,0.266104012341044
13.9,436.34911823548947,0.26717633698273324
14.0,436.3098992078998,0.26823476548451797
14.100000000000001,436.2711936425507,0.26927947294628224
14.200000000000001,436.2329947282601,0.2703106324022191
14.3,436.19529574599767,0.2713284149921587
14.4,436.1580900673869,0.2723329899491765
14.5,436.1213711544025,0.2733245246734898
14.600000000000001,436.0851325614486,0.2743031849781797
14.700000000000001,436.0493679280058,0.2752691346542417
14.8,436.01407097913244,0.27622253560249604
14.9,435.97923552437857,0.27716354785093256
15.0,435.94485541362167,0.2780923296939949
15.100000000000001,435.91092473878996,0.2790090373030585
15.200000000000001,435.8774374719945,0.27991382568391043
15.3,435.8443877609155,0.2808068476322036
15.4,435.81176982787366,0.28168825414498033
15.5,435.77957796983014,0.2825581944206728
15.600000000000001,435.747806558883,0.2834168159739686
15.700000000000001,435.7164500429677,0.2842642647978482
15.8,435.68550294386665,0.2851006849030759
15.9,435.6549598580432,0.28592621851123096
16.0,435.624815456702,0.2867410060686135
16.1,435.59506448578907,0.2875451862462445
16.2,435.5657017659917,0.28833889593986545
16.3,435.5367221814824,0.28912227053706824
16.400000000000002,435.5081206504488,0.28989544461667505
16.5,435.479892189017,0.290658550431718
16.6,435.4520318883221,0.2914117184535952
16.7,435.42453491115026,0.29215507745176145
16.8,435.3973964919387,0.2928887544937287
16.900000000000002,435.37061193677596,0.2936128749450657
17.0,435.3441766067524,0.29432756271926713
17.1,435.3180858441056,0.29503294138617325
17.2,435.29233510602756,0.29572913216378205
17.3,435.26691992598813,0.2964162544987114
17.400000000000002,435.24183590262203,0.2970944262329809
17.5,435.2170786997288,0.2977637636040119
17.6,435.1926440462731,0.298424381244628
17.7,435.16852772602937,0.29907639236840833
17.8,435.14472550081047,0.29971991014390376
17.900000000000002,435.12123323068715,0.3003550455427
18.0,435.0980468499057,0.3009819077704952
18.1,435.0751623517466,0.3016006045381292
18.2,435.05257578852456,0.30221124206158306
18.3,435.0302832715885,0.3028139250619794
18.400000000000002,435.00828096578795,0.3034087568819269
18.5,434.98656501783654,0.3039958409916608
18.6,434.9651316538658,0.304575278937997
18.7,434.94397717201804,0.305147170500062
18.8,434.9230979239474,0.3057116140782311
18.900000000000002,434.9024903148199,0.3062687066941282
19.0,434.8821508033133,0.3068185439906259
19.1,434.86207589912624,0.30736122028549046
19.200000000000003,434.84226209925384,0.30789682994368206
19.3,434.82270596206615,0.308425465782072
19.400000000000002,434.8034041161604,0.30894721887882415
19.5,434.78435323865205,0.30946217904088186
19.6,434.76555005517525,0.3099704348039679
19.700000000000003,434.7469913398825,0.31047207343258443
19.8,434.7286739146678,0.3109671809380609
19.900000000000002,434.7105945954966,0.3114558433245439
20.0,434.6927502426561,0.31193814542240267
